"","Con1","Con2","Con3","Ko1","Ko2","Ko3"
"ENSMUSG00000043230",0,0,0,0,0,2
"ENSMUSG00000103404",0,0,0,0,0,0
"ENSMUSG00000026491",424,1773,5413,454,2404,3723
"ENSMUSG00000073486",0,0,0,0,0,0
"ENSMUSG00000025917",1069,5068,13567,918,4121,4670
"ENSMUSG00000104418",0,8,16,0,4,2
"ENSMUSG00000026479",408,2150,6598,322,2384,3464
"ENSMUSG00000004364",1644,7063,21671,1722,8349,11576
"ENSMUSG00000103076",2,4,0,0,0,0
"ENSMUSG00000103525",4,0,0,0,0,0
"ENSMUSG00000101722",0,0,0,0,2,0
"ENSMUSG00000090637",0,0,0,0,0,0
"ENSMUSG00000026478",618,2821,6093,410,3066,4791
"ENSMUSG00000110100",0,0,0,0,0,0
"ENSMUSG00000103818",0,0,0,0,0,0
"ENSMUSG00000079138",0,0,2,0,0,0
"ENSMUSG00000042708",0,0,16,0,0,0
"ENSMUSG00000064435",0,0,0,0,0,0
"ENSMUSG00000103543",0,0,0,0,0,0
"ENSMUSG00000099432",0,12,0,0,0,0
"ENSMUSG00000041144",22,24,20,0,26,19
"ENSMUSG00000119743",0,0,0,0,0,0
"ENSMUSG00000042699",1267,4583,15698,1026,5982,11341
"ENSMUSG00000101262",0,0,12,0,1,2
"ENSMUSG00000042684",38,220,392,20,120,150
"ENSMUSG00000099858",18,90,248,26,106,112
"ENSMUSG00000101337",4,1,12,0,10,16
"ENSMUSG00000025986",218,1024,3630,136,863,1610
"ENSMUSG00000100213",26,67,153,22,66,57
"ENSMUSG00000103129",0,0,0,0,0,0
"ENSMUSG00000100160",0,10,36,0,3,21
"ENSMUSG00000101921",0,0,0,0,0,0
"ENSMUSG00000101447",0,0,0,0,0,0
"ENSMUSG00000081185",3,5,10,2,1,5
"ENSMUSG00000103246",0,0,0,0,0,0
"ENSMUSG00000098876",0,0,0,0,0,0
"ENSMUSG00000100530",0,0,0,0,0,0
"ENSMUSG00000104067",0,0,4,0,0,0
"ENSMUSG00000100033",0,3,26,2,4,0
"ENSMUSG00002075213",0,0,0,0,0,0
"ENSMUSG00002076633",0,0,0,0,0,0
"ENSMUSG00000101996",0,0,0,0,0,0
"ENSMUSG00000096973",0,0,0,0,0,0
"ENSMUSG00000064943",0,0,0,0,0,0
"ENSMUSG00000100866",0,0,0,0,0,0
"ENSMUSG00000101721",0,0,0,0,0,0
"ENSMUSG00000099376",0,0,0,0,0,0
"ENSMUSG00000097883",0,0,0,0,0,0
"ENSMUSG00002076043",0,0,0,0,0,0
"ENSMUSG00000099698",0,0,0,0,0,0
"ENSMUSG00000056763",267,1472,3634,218,947,1404
"ENSMUSG00000099454",0,0,0,0,0,0
"ENSMUSG00000051616",0,0,0,0,0,0
"ENSMUSG00000099627",0,0,0,0,0,0
"ENSMUSG00000099577",0,0,0,0,0,0
"ENSMUSG00000099882",0,0,0,0,0,0
"ENSMUSG00000101760",0,0,0,0,0,0
"ENSMUSG00000102356",0,0,0,0,0,0
"ENSMUSG00000099608",0,0,0,0,0,0
"ENSMUSG00000099864",0,0,0,0,0,0
"ENSMUSG00002075839",0,0,0,0,0,0
"ENSMUSG00000100451",0,0,0,0,0,0
"ENSMUSG00000099941",0,0,0,0,0,0
"ENSMUSG00002075589",0,0,0,0,0,0
"ENSMUSG00000100816",0,0,0,0,0,0
"ENSMUSG00000042671",12,24,141,16,76,71
"ENSMUSG00000100945",0,0,0,0,0,0
"ENSMUSG00000102404",0,0,0,0,0,0
"ENSMUSG00000100334",2,1,29,8,16,24
"ENSMUSG00000026109",36,64,152,10,80,36
"ENSMUSG00000026475",424,1605,4046,829,3189,4006
"ENSMUSG00000099568",0,0,0,0,0,2
"ENSMUSG00000100671",0,0,0,0,0,0
"ENSMUSG00002075527",0,0,0,0,0,0
"ENSMUSG00000101242",0,0,0,0,0,0
"ENSMUSG00000099924",0,0,16,0,0,0
"ENSMUSG00000099625",0,0,0,0,0,0
"ENSMUSG00000101799",0,0,4,0,0,0
"ENSMUSG00000045954",26,166,162,16,148,156
"ENSMUSG00000099741",0,0,0,0,0,0
"ENSMUSG00000101702",0,14,8,0,0,8
"ENSMUSG00000066800",20,138,394,36,208,303
"ENSMUSG00000100183",0,2,3,2,0,2
"ENSMUSG00000067851",1428,5730,19378,1424,7733,14483
"ENSMUSG00002076532",0,0,0,0,0,0
"ENSMUSG00000102556",0,0,0,0,8,0
"ENSMUSG00000038608",62,180,697,42,244,429
"ENSMUSG00000042501",0,0,16,0,0,4
"ENSMUSG00000103810",0,0,0,0,0,0
"ENSMUSG00000083422",0,0,0,0,0,0
"ENSMUSG00000119312",0,0,0,0,0,0
"ENSMUSG00000042641",0,5,8,0,0,1
"ENSMUSG00000081417",4,1,4,0,0,24
"ENSMUSG00000103448",0,0,0,0,0,0
"ENSMUSG00000103192",0,0,0,0,0,0
"ENSMUSG00000104488",4,10,0,0,0,0
"ENSMUSG00000100212",0,0,0,0,0,0
"ENSMUSG00000102721",0,2,0,0,0,0
"ENSMUSG00000100648",0,0,0,0,0,0
"ENSMUSG00002076499",0,0,0,0,0,0
"ENSMUSG00000099949",0,0,0,0,0,0
"ENSMUSG00000099918",0,0,0,0,0,0
"ENSMUSG00000045968",2,46,101,12,35,37
